assists_x,clean_sheets_x,expected_goal_involvements,expected_goals_conceded,goals_conceded_x,goals_scored_x,minutes,round,selected,starts,threat,total_points,value,id,element_type,first_name,second_name,team,average_total_points,minutes_played,total_starts,avg_selected,goals_scored_y,assists_y,total_xgc,goals_conceded_y,clean_sheets_y,total_xgi,avg_threat
0,0,0.2,1.28,1,0,90,11,425618,1,8.0,1,62,24,DEF,Benjamin,White,1,1.2,289,3,518029,0,1,3.99,5.0,0.0,,
0,0,0.0,0.0,0,0,0,11,11862,0,0.0,0,43,153,DEF,Benoît,Badiashile,6,0.2,37,0,12026,0,0,0.09,0.0,0.0,,
0,0,0.12,0.03,0,0,17,11,21171,0,5.0,1,50,584,MID,Ben,Brereton Díaz,17,0.2,62,0,26536,0,0,,,,0.16,2.83
0,0,0.0,0.0,0,0,0,11,54787,0,0.0,0,47,160,DEF,Ben,Chilwell,6,0.0,0,0,56532,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,19566,0,0.0,0,43,484,DEF,Ben,Davies,18,0.2,29,0,19625,0,0,0.47,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,2188,0,0.0,0,45,318,MID,Ben,Doak,12,0.0,0,0,2455,0,0,,,,0.0,0.0
0,0,0.01,1.82,1,0,90,11,231296,1,2.0,1,40,275,DEF,Ben,Johnson,10,0.6,270,3,275616,0,0,7.16,6.0,0.0,,
0,0,0.0,0.0,0,0,0,11,47272,0,0.0,0,42,100,DEF,Ben,Mee,4,0.0,3,0,51565,0,0,0.46,2.0,0.0,,
0,0,0.0,0.0,0,0,0,11,2382,0,0.0,0,40,616,DEF,Ben,Nelson,11,0.0,0,0,2583,0,0,0.0,0.0,0.0,,
0,0,0.08,0.83,2,0,18,11,519845,0,17.0,1,65,342,MID,Bernardo,Veiga de Carvalho e Silva,13,2.8,468,5,548179,0,1,,,,1.64,28.67
0,1,0.0,1.52,0,0,90,11,277635,1,0.0,9,50,248,GK,Bernd,Leno,9,4.2,540,6,260246,0,1,6.95,8.0,2.0,,
0,0,0.0,0.1,1,0,20,11,3660,0,0.0,1,49,635,MID,Bilal,El Khannouss,11,1.0,120,1,3671,0,0,,,,0.36,1.67
0,0,0.0,0.0,0,0,0,11,4329,0,0.0,0,50,124,MID,Billy,Gilmour,5,0.0,0,0,4732,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,1815,0,0.0,0,45,315,MID,Bobby,Clark,12,0.0,0,0,2026,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,6969,0,0.0,0,52,290,MID,Bobby,De Cordova-Reid,11,0.4,11,0,7838,0,0,,,,0.04,1.33
0,0,0.0,0.67,1,0,16,11,1392,0,0.0,0,50,42,MID,Boubacar,Kamara,2,0.4,33,0,751,0,0,,,,0.01,0.0
0,0,0.0,0.0,0,0,0,11,2714,0,0.0,0,48,534,MID,Boubacar,Traoré,20,0.0,0,0,2944,0,0,,,,0.0,0.0
0,0,0.01,0.7,3,0,90,11,30075,1,0.0,2,44,285,MID,Boubakary,Soumaré,11,0.6,127,1,22326,0,0,,,,0.32,0.67
0,0,0.02,0.19,0,0,24,11,2348,0,2.0,1,54,595,MID,Brajan,Gruda,5,0.8,59,0,2242,0,0,,,,0.03,2.0
0,0,0.0,0.0,0,0,0,11,55605,0,0.0,0,40,479,GK,Brandon,Austin,18,0.0,0,0,55695,0,0,0.0,0.0,0.0,,
0,0,0.79,1.72,2,0,83,11,1276547,1,21.0,2,67,491,MID,Brennan,Johnson,18,4.0,518,6,813772,3,1,,,,4.48,35.5
2,1,0.41,0.77,0,1,90,11,1053462,1,15.0,17,83,366,MID,Bruno,Borges Fernandes,14,7.4,491,6,817974,2,3,,,,2.77,16.33
0,0,0.17,0.63,1,0,90,11,184808,1,12.0,2,62,394,MID,Bruno,Guimarães Rodriguez Moura,15,2.4,534,6,195752,0,0,,,,1.16,6.5
0,0,0.0,0.0,0,0,0,11,127,0,0.0,0,50,483,MID,Bryan,Gil Salvatierra,18,0.0,0,0,132,0,0,,,,0.0,0.0
1,0,0.34,2.17,2,0,90,11,4635502,1,4.0,5,79,99,MID,Bryan,Mbeumo,4,6.6,536,6,3410908,4,1,,,,3.51,17.67
